data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

Predicted sentence samples:

1. Damit_KOUS die_ART bisherige_ADJA Obergrenze_NN der_ART EU-Eigenmittel_NN von_APPR 1,27_CARD Prozent_NN des_ART Bruttosozialprodukts_NN auch_ADV künftig_ADJD eingehalten_VVPP werden_VAINF könne_VMFIN ,_$, müßten_VMFIN Reformen_NN bei_APPR den_ART großen_ADJA Etatblöcken_NN angegangen_VVPP werden_VAINF ._$.
2. Die_ART Agrarausgaben_NN ,_$, die_PRELS bisher_ADV rund_ADV die_ART Hälfte_NN des_ART Brüsseler_ADJA Haushalts_NN ausmachen_VVFIN ,_$, sind_VAFIN nach_APPR Ansicht_NN der_ART SPD_NE durch_APPR eine_ART Abkehr_NN vom_APPRART bisherigen_ADJA Subventionssystem_NN deutlich_ADJD zu_PTKZU reduzieren_VVINF ._$.
3. Über_APPR neun_CARD Milliarden_NN Mark_NN jährlich_ADJD (_$( wovon_PWAV ein_ART Viertel_NN auf_APPR die_ART Bundesrepublik_NN entfällt_VVFIN )_$( lassen_VVFIN sich_PRF der_ART Partei_NN zufolge_APPO durch_APPR eine_ART ``_$( Teilliberalisierung_NN ''_$( der_ART Preise_NN einsparen_VVINF ._$.
4. Um_KOUI extreme_ADJA Härten_NN für_APPR einzelne_ADJA Landwirte_NN zu_PTKZU mildern_VVINF ,_$, sollten_VMFIN nach_APPR ökologischen_ADJA Gesichtspunkten_NN Flächenbeihilfen_NN gezahlt_VVPP werden_VAINF ._$.
5. Deutlich_ADJD|ADV verringern_VVINF will_VMFIN die_ART SPD_NE auch_ADV die_ART Zahl_NN der_ART Gebiete_NN ,_$, die_PRELS bislang_ADV Fördermittel_NN erhalten_VVFIN ._$.
6. Der_ART Anteil_NN der_ART Bevölkerung_NN ,_$, der_PRELS dort_ADV lebt_VVFIN ,_$, betrage_VVFIN zur_APPRART Zeit_NN 51_CARD Prozent_NN ,_$, sagte_VVFIN Wieczorek-Zeul_NE ._$.
7. Eine_ART sinnvolle_ADJA ``_$( Zielgröße_NN ''_$( seien_VAFIN 35_CARD Prozent_NN ._$.
8. Für_APPR die_ART Regionen_NN ,_$, die_PRELS dann_ADV keine_PIAT Zuschüsse_NN mehr_ADV bekommen_VVFIN ,_$, solle_VMFIN es_PPER übergangsweise_ADV Darlehen_NN geben_VVINF ._$.
9. Falls_KOUS die_ART bisherige_ADJA Brüsseler_ADJA Strukturpolitik_NN beibehalten_VVPP würde_VAFIN ,_$, müßten_VMFIN die_ART osteuropäischen_ADJA Beitrittsländer_NN -_$( nach_APPR heutigen_ADJA Regeln_NN -_$( durchschnittlich_ADJD 17_CARD Prozent_NN ihres_PPOSAT Inlandsproduktes_NN aus_APPR Mitteln_NN des_ART Strukturfonds_NN erhalten_VVINF ._$.
10. Das_PDS sei_VAFIN ``_$( weder_KON zu_PTKZU finanzieren_VVINF noch_KON zu_PTKZU verwalten_VVINF ''_$( ._$.
11. Die_ART EU-Kommission_NN ,_$, die_PRELS in_APPR der_ART nächsten_ADJA Woche_NN ihre_PPOSAT Stellungnahme_NN zu_APPR den_ART Anträgen_NN der_ART Kandidaten_NN vorlegen_VVINF will_VMFIN ,_$, sollte_VMFIN nach_APPR Ansicht_NN der_ART Sozialdemokraten_NN auch_ADV schon_ADV jetzt_ADV den_ART Wandel_NN bei_APPR den_ART künftigen_ADJA neuen_ADJA Mitgliedern_NN wirksamer_ADJD unterstützen_VVINF ._$.
12. Sie_PPER schlagen_VVFIN vor_PTKVZ ,_$, bestehende_ADJA Programme_NN zu_APPR einem_ART Fonds_NN zusammenzufassen_VVIZU|VVINF ._$.
13. Durch_APPR frühe_ADJA Hilfen_NN beim_APPRART Aufbau_NN von_APPR Verwaltungen_NN und_KON Infrastruktur_NN könnten_VMFIN die_ART Kosten_NN nach_APPR der_ART tatsächlichen_ADJA Aufnahme_NN in_APPR die_ART Europäische_ADJA Union_NN geringer_ADJD ausfallen_VVINF ._$.
14. Tarifverträge_NN
15. Preise_NN eilen_VVFIN Einkommen_NN voraus_PTKVZ
16. prw_XY
17. FRANKFURT_NE A._APPRART M._NE
18. Die_ART Tarifabschlüsse_NN in_APPR Westdeutschland_NE blieben_VVFIN im_APPRART ersten_ADJA Halbjahr_NN noch_ADV hinter_APPR der_ART Preissteigerungsrate_NN zurück_PTKVZ ._$.
19. Eine_ART Übersicht_NN des_ART Wirtschafts-_TRUNC und_KON Sozialwissenschaftlichen_ADJA Instituts_NN (_$( WSI_NE )_$( des_ART DGB_NE zeigt_VVFIN ,_$, daß_KOUS für_APPR 9,3_CARD Millionen_NN Beschäftigte_NN Lohn-_TRUNC und_KON Gehaltserhöhungen_NN von_APPR im_APPRART Schnitt_NN 1,5_CARD Prozent_NN vereinbart_VVPP wurden_VAFIN ._$.
20. Demgegenüber_PROAV kletterten_VVFIN die_ART Lebenshaltungskosten_NN um_APPR 1,6_CARD Prozent_NN ._$.
21. In_APPR den_ART neuen_ADJA Bundesländern_NN wurde_VAFIN eine_ART durchschnittliche_ADJA Anhebung_NN um_APPR 2,5_CARD Prozent_NN ausgehandelt_VVPP ._$.
22. Eines_PIS der_ART brisantesten_ADJA sozialpolitischen_ADJA Themen_NN war_VAFIN in_APPR dieser_PDAT Runde_NN die_ART volle_ADJA Lohnfortzahlung_NN bei_APPR Krankheit_NN ._$.
23. In_APPR rund_ADV 80_CARD Wirtschaftszweigen_NN und_KON damit_PROAV für_APPR knapp_ADV 14_CARD Millionen_NN Arbeitnehmer_NN haben_VAFIN die_ART Gewerkschaften_NN die_ART hundert_CARD Prozent_NN retten_VVINF können_VMINF|VVINF ,_$, mußten_VMFIN aber_ADV zumeist_ADV Abstriche_NN beim_APPRART Weihnachtsgeld_NN und_KON sonstigen_ADJA Sonderzahlungen_NN machen_VVINF ._$.
24. Altersteilszeit-Regelungen_NN gab_VVFIN es_PPER in_APPR zehn_CARD Branchen_NN ._$.
25. Ihr_PPOSAT überwiegender_ADJA Inhalt_NN :_$. Beschäftigte_NN können_VMFIN vom_APPRART 55._ADJA Lebensjahr_NN an_APPR|APZR ihre_PPOSAT Arbeitszeit_NN um_APPR die_ART Hälfte_NN reduzieren_VVINF und_KON erhalten_VVFIN noch_ADV 85_CARD Prozent_NN des_ART bisherigen_ADJA Nettoverdienstes_NN ._$.
26. Die_ART Rentenbeiträge_NN werden_VAFIN auf_APPR 90_CARD Prozent_NN aufgestockt_VVPP ._$.
27. BfG_NE Bank_NE|NN erneut_ADJD im_APPRART Gerede_NN
28. Gewerkschaftsholding_NN strebt_VVFIN Verkauf_NN zum_APPRART Schuldenabbau_NN an_PTKVZ
29. wb_XY
30. FRANKFURT_NE A._APPRART M._NE
31. Weiterer_ADJA Schuldenabbau_NN steht_VVFIN auch_ADV für_APPR Rolf_NE Freyberg_NE ganz_ADV oben_ADV auf_APPR der_ART Agenda_NN ._$.
32. Der_ART neue_ADJA Chef_NN der_ART BGAG_NE will_VMFIN die_ART Gewerkschaftsholding_NN in_APPR die_ART Lage_NN versetzen_VVINF ,_$, ihr_PPOSAT Kapital_NN ``_$( angemessen_ADJD und_KON nachhaltig_ADJD zu_PTKZU verzinsen_VVINF ''_$( ._$.
33. Für_APPR die_ART weitere_ADJA Zukunft_NN soll_VMFIN dazu_PROAV insbesondere_ADV eine_ART ``_$( Neuorientierung_NN ''_$( bei_APPR der_ART BfG_NE Bank_NN beitragen_VVINF ,_$, an_APPR der_PRELS die_ART Dachgesellschaft_NN noch_ADV knapp_ADV 25_CARD Prozent_NN hält_VVFIN ._$.
34. Den_ART Substanzwert_NN des_ART einst_ADV reinrassigen_ADJA Gewerkschaftsinstituts_NN beziffert_VVFIN Freyberg_NE auf_APPR den_ART stolzen_ADJA Betrag_NN von_APPR vier_CARD Milliarden_NN Mark_NN ._$.
