data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 1

 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0   343     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    10     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    89     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0    41     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   143     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1903     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0   275     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    94     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   950     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    36     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     8     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  3154     0     3     0     7     0]
 [    0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2    17     0     0     0     0]
 [    0     0     0     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0    15     0  1305     3     8     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   129     0     0]
 [    0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     7     0     4     0  1430     0]
 [    0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     3     0     0    21     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     1     0     0     0     0     0     0     1     0     0     0     0   110]]

Predicted sentence samples:

1. Damit_KOUS die_ART bisherige_ADJA Obergrenze_NN der_ART EU-Eigenmittel_NN von_APPR 1,27_CARD Prozent_NN des_ART Bruttosozialprodukts_NN auch_ADV künftig_ADJD eingehalten_VVPP werden_VAINF könne_VMFIN ,_$, müßten_VMFIN Reformen_NN bei_APPR den_ART großen_ADJA Etatblöcken_NN angegangen_VVPP werden_VAINF ._$.
2. Die_ART Agrarausgaben_NN ,_$, die_PRELS bisher_ADV rund_ADV die_ART Hälfte_NN des_ART Brüsseler_ADJA Haushalts_NN ausmachen_VVFIN ,_$, sind_VAFIN nach_APPR Ansicht_NN der_ART SPD_NE durch_APPR eine_ART Abkehr_NN vom_APPRART bisherigen_ADJA Subventionssystem_NN deutlich_ADJD zu_PTKZU reduzieren_VVINF ._$.
3. Über_ADV|APPR neun_CARD Milliarden_NN Mark_NN jährlich_ADJD (_$( wovon_PWAV ein_ART Viertel_NN auf_APPR die_ART Bundesrepublik_NN entfällt_VVFIN )_$( lassen_VVFIN sich_PRF der_ART Partei_NN zufolge_APPO durch_APPR eine_ART ``_$( Teilliberalisierung_NN ''_$( der_ART Preise_NN einsparen_VVINF ._$.
4. Um_KOUI extreme_ADJA Härten_NN für_APPR einzelne_ADJA Landwirte_NN zu_PTKZU mildern_VVINF ,_$, sollten_VMFIN nach_APPR ökologischen_ADJA Gesichtspunkten_NN Flächenbeihilfen_NN gezahlt_VVPP werden_VAINF ._$.
5. Deutlich_ADJD|ADV verringern_VVINF will_VMFIN die_ART SPD_NE auch_ADV die_ART Zahl_NN der_ART Gebiete_NN ,_$, die_PRELS bislang_ADV Fördermittel_NN erhalten_VVFIN ._$.
6. Der_ART Anteil_NN der_ART Bevölkerung_NN ,_$, der_PRELS dort_ADV lebt_VVFIN ,_$, betrage_VVFIN zur_APPRART Zeit_NN 51_CARD Prozent_NN ,_$, sagte_VVFIN Wieczorek-Zeul_NE ._$.
7. Eine_ART sinnvolle_ADJA ``_$( Zielgröße_NN ''_$( seien_VAFIN 35_CARD Prozent_NN ._$.
8. Für_APPR die_ART Regionen_NN ,_$, die_PRELS dann_ADV keine_PIAT Zuschüsse_NN mehr_ADV bekommen_VVFIN ,_$, solle_VMFIN es_PPER übergangsweise_ADV Darlehen_NN geben_VVINF ._$.
9. Falls_KOUS die_ART bisherige_ADJA Brüsseler_ADJA Strukturpolitik_NN beibehalten_VVPP würde_VAFIN ,_$, müßten_VMFIN die_ART osteuropäischen_ADJA Beitrittsländer_NN -_$( nach_APPR heutigen_ADJA Regeln_NN -_$( durchschnittlich_ADJD 17_CARD Prozent_NN ihres_PPOSAT Inlandsproduktes_NN aus_APPR Mitteln_NN des_ART Strukturfonds_NN erhalten_VVINF ._$.
10. Das_PDS sei_VAFIN ``_$( weder_KON zu_PTKZU finanzieren_VVINF noch_KON zu_PTKZU verwalten_VVINF ''_$( ._$.
11. Die_ART EU-Kommission_NN ,_$, die_PRELS in_APPR der_ART nächsten_ADJA Woche_NN ihre_PPOSAT Stellungnahme_NN zu_APPR den_ART Anträgen_NN der_ART Kandidaten_NN vorlegen_VVINF will_VMFIN ,_$, sollte_VMFIN nach_APPR Ansicht_NN der_ART Sozialdemokraten_NN auch_ADV schon_ADV jetzt_ADV den_ART Wandel_NN bei_APPR den_ART künftigen_ADJA neuen_ADJA Mitgliedern_NN wirksamer_ADJD unterstützen_VVINF ._$.
12. Sie_PPER schlagen_VVFIN vor_PTKVZ ,_$, bestehende_ADJA Programme_NN zu_APPR einem_ART Fonds_NN zusammenzufassen_VVIZU|VVINF ._$.
13. Durch_APPR frühe_ADJA Hilfen_NN beim_APPRART Aufbau_NN von_APPR Verwaltungen_NN und_KON Infrastruktur_NN könnten_VMFIN die_ART Kosten_NN nach_APPR der_ART tatsächlichen_ADJA Aufnahme_NN in_APPR die_ART Europäische_ADJA Union_NN geringer_ADJD ausfallen_VVINF ._$.
14. Tarifverträge_NN
15. Preise_NN eilen_VVFIN Einkommen_NN voraus_PTKVZ
16. prw_XY
17. FRANKFURT_NE A._APPRART M._NE
